currency,discount,ean_x,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,description,ean_y,image,categories
DKK,34.9,2007090,2022-12-09T22:59:59.000Z,2022-12-08T14:51:38.000Z,75.0,109.9,31.76,2022-12-08T10:09:02.000Z,1.07,kg,3-7% GRIS MESTERHAKKET,250515,,
DKK,25.17,2007069,2022-12-09T22:59:59.000Z,2022-12-08T10:04:51.000Z,64.73,89.9,28.0,2022-12-08T10:04:22.000Z,5.824,kg,SKINKESTEG,250774,,
DKK,19.0,2007021,2022-12-08T22:59:59.000Z,2022-12-07T17:21:51.000Z,50.0,69.0,27.54,2022-12-07T12:06:41.000Z,1.07,kg,GB URTEKYLLING,250932,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/42518565-2fa3-4d3a-9f37-cfc2431dd738","{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}"
DKK,29.0,2007113,2022-12-09T22:59:59.000Z,2022-12-08T14:06:46.000Z,40.0,69.0,42.03,2022-12-08T10:17:44.000Z,2.75,kg,MØRBRADGRYDE GODT BEGYNDT,251075,,"{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}"
DKK,34.0,2007137,2022-12-09T22:59:59.000Z,2022-12-08T15:36:38.000Z,35.0,69.0,49.28,2022-12-08T10:20:41.000Z,5.27,kg,SKINKETERN,251703,,{}
DKK,24.0,2007281,2022-12-09T22:59:59.000Z,2022-12-08T12:06:39.000Z,45.0,69.0,34.78,2022-12-08T10:51:04.000Z,1.07,kg,KYLLING I KARRY,254564,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/b60d61b7-9d17-4c2d-bcac-54771f5a2f66","{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}"
DKK,39.0,2007120,2022-12-09T22:59:59.000Z,2022-12-08T13:51:41.000Z,40.0,79.0,49.37,2022-12-08T10:19:02.000Z,7.478,kg,SKINKESCHNITZLER,255768,,{}
DKK,24.0,2007274,2022-12-09T22:59:59.000Z,2022-12-08T12:06:39.000Z,45.0,69.0,34.78,2022-12-08T10:49:25.000Z,1.07,kg,KOTELET FAD,257192,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/938708b580c981e2ee8bbe874843f212","{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}"
DKK,19.0,2007267,2022-12-09T22:59:59.000Z,2022-12-08T14:06:46.000Z,70.0,89.0,21.35,2022-12-08T10:49:13.000Z,1.07,kg,MØRBRAD FAD,258436,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/af982818-3e8b-42f3-978a-504bdb31cf90","{'da': 'Mejeri & køl>Færdigretter>Middagsretter', 'en': 'Dairy And Cold Storage>Ready To Eat Meals>Dinner Meals'}"
DKK,35.97,2007045,2022-12-08T22:59:59.000Z,2022-12-08T08:06:23.000Z,83.93,119.9,30.0,2022-12-07T12:09:44.000Z,1.676,each,RIBBENSSTEG,281368,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/38f0dc95-047f-4cfd-85b2-b928425c85ff","{'da': 'Kød & fisk>Grisekød>Stege & hele kødstykker>Flæskesteg & ribbenssteg', 'en': 'Meat Fish>Pork>Roasted Whole Pork Pieces>Roasted Pork'}"
DKK,7.95,5712580081243,2022-12-18T22:59:59.000Z,2022-12-07T16:36:52.000Z,9.0,16.95,46.9,2022-11-24T12:39:12.000Z,30.0,each,ISKAFFE KLØVER,4100290024611,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/f0976986-5812-4062-8f93-634f35073eaa","{'da': 'Mejeri & køl>Mejeri>Kolde kaffedrikke & kakao', 'en': 'Dairy And Cold Storage>Dairy>Cold Coffee Drinks Cacao'}"
DKK,14.95,5712580113845,2022-12-27T22:59:59.000Z,2022-12-07T16:36:52.000Z,15.0,29.95,49.92,2022-12-06T13:30:41.000Z,1.0,each,LAGRET CHEDDAR SALLING,5712873999088,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a162cb4d-bbd0-4f65-80e3-d65c35b76a74","{'da': 'Mejeri & køl>Mejeri>Ost>Specialost', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Cheese Specialities'}"
DKK,18.0,5712580114392,2022-12-08T22:59:59.000Z,2022-12-07T17:06:53.000Z,17.0,35.0,51.43,2022-12-06T14:07:43.000Z,1.0,each,HOTDOGPØLSER SALLING ØKO,5712875092527,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/12aaa0dc-85b3-447d-afa1-3e0b748bf232","{'da': 'Mejeri & køl>Bacon, pølser & toppings>Pølser>Grisepølser', 'en': 'Dairy And Cold Storage>Bacon Sausages Toppings>Sausages>Pork Sausages'}"
DKK,14.95,5712580099316,2022-12-08T22:59:59.000Z,2022-12-07T17:51:56.000Z,35.0,49.95,29.93,2022-12-02T05:02:49.000Z,3.0,each,SPARERIBS TULIP,5707196292152,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/95aba0e6-43ee-4d81-9894-15215231a405","{'da': 'Kød & fisk>Spareribs & barbecuekød', 'en': 'Meat Fish>spareribs Barbecue Meat'}"
DKK,5.95,5712580111452,2022-12-11T22:59:59.000Z,2022-12-07T18:51:57.000Z,5.0,10.95,54.34,2022-12-06T07:27:40.000Z,16.0,each,APPELSIN M/TOP YOGGI,4016241031204,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/c508f598-620a-400f-a7c7-5e2fcfcd1397","{'da': 'Mejeri & køl>Mejeri>Yoghurt & syrnede mælkeprodukter>Yoghurt', 'en': 'Dairy And Cold Storage>Dairy>Yoghurt Soured Milk Products>Yoghurt'}"
DKK,10.75,5712580116310,2022-12-09T22:59:59.000Z,2022-12-07T18:58:43.000Z,15.0,25.75,41.75,2022-12-07T18:58:05.000Z,3.0,each,SOL OVER GUDHJE SIGNATURBØD,5701205009489,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/0fc017fb-77d4-447a-bbcc-2f4b11598c97","{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}"
DKK,12.95,5712580115658,2022-12-08T22:59:59.000Z,2022-12-08T09:51:29.000Z,30.0,42.95,30.15,2022-12-07T11:16:00.000Z,1.0,each,FLÆSK I SKIVER SLAGTEREN,5707196305098,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ffcecc2ddd4000d5e70c2637ba3c0566","{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}"
DKK,29.0,5712580117034,2022-12-09T22:59:59.000Z,2022-12-08T10:13:11.000Z,40.0,69.0,42.03,2022-12-08T10:12:47.000Z,1.0,each,SKINKEKØD I TER ANTONIUS,5707196305258,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/d69154fb2b979be7697b3ebf6294de07","{'da': 'Kød & fisk>Grisekød>Grisekød i tern & strimler', 'en': 'Meat Fish>Pork>Chopped Pork'}"
DKK,29.0,5712580117058,2022-12-09T22:59:59.000Z,2022-12-08T10:14:42.000Z,40.0,69.0,42.03,2022-12-08T10:14:15.000Z,2.0,each,KOTELETTER 450G ANTONIUS,5707196305272,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/9752b337a48eb2645191ccccba986203","{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}"
DKK,13.25,5712580116495,2022-12-09T22:59:59.000Z,2022-12-08T10:51:57.000Z,16.0,29.25,45.3,2022-12-07T19:09:06.000Z,3.0,each,SOLSIKKEBRØD SCHULSTAD,5701205009748,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/96888776bda7e35fa93d331a716c86c7","{'da': 'Brød & kager>Lyst & groft brød>Hele brød', 'en': 'Bread And Cakes>Light Breads Dark Breads>Whole Breads'}"
DKK,25.0,5712580117607,2022-12-15T22:59:59.000Z,2022-12-08T12:18:14.000Z,35.0,60.0,41.67,2022-12-08T12:17:03.000Z,86.0,each,SKÆREOST 45+ ML GRØNNELUND,5711953161193,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/dc8f86bfb485c0201f7223669a3f7831","{'da': 'Mejeri & køl>Mejeri>Ost>Skæreost', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Cheese For Slicing'}"
DKK,29.0,5712580117096,2022-12-09T22:59:59.000Z,2022-12-08T12:21:34.000Z,40.0,69.0,42.03,2022-12-08T10:28:40.000Z,6.0,each,PAN. SCHNITZEL SLAGTEREN,5707735939623,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/a6f41052-bf17-4211-aec1-173b7440b778","{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}"
DKK,11.95,5712580116112,2022-12-22T22:59:59.000Z,2022-12-08T14:51:38.000Z,13.0,24.95,47.9,2022-12-07T16:58:48.000Z,84.0,each,BACON BUKO,5711953140433,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/75d09b96-1942-4c54-8e5d-f879f31190ad","{'da': 'Mejeri & køl>Mejeri>Ost>Smøreost', 'en': 'Dairy And Cold Storage>Dairy>Cheese>Cream Cheese'}"
DKK,29.95,5712580116662,2022-12-11T22:59:59.000Z,2022-12-08T12:51:33.000Z,20.0,49.95,59.96,2022-12-08T05:34:33.000Z,46.0,each,RINGRIDERE GØL,5707196292718,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/19211d8e-d395-40da-b55a-b6dcc3c296af","{'da': 'Kød & fisk>Grisekød>Medister', 'en': 'Meat Fish>Pork>Thick Sausages'}"
DKK,12.95,5712580116990,2022-12-09T22:59:59.000Z,2022-12-08T13:51:41.000Z,30.0,42.95,30.15,2022-12-08T10:03:12.000Z,4.0,each,KOTELET 400G SLAGTEREN,5707196305135,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/89016a46542c185236870a9f57827f6d","{'da': 'Kød & fisk>Grisekød>Koteletter, flæsk & schnitzler', 'en': 'Meat Fish>Pork>Pork Chops Pork Schnitzels'}"
DKK,5.5,5712580053899,2022-12-08T22:59:59.000Z,2022-12-08T14:06:46.000Z,9.0,14.5,37.93,2022-11-10T12:12:21.000Z,295.0,each,ICED ESPRESSO BOLD,5700002140012,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/c667596a-150c-45ef-afb6-6df375ae4411","{'da': 'Mejeri & køl>Mejeri>Kolde kaffedrikke & kakao', 'en': 'Dairy And Cold Storage>Dairy>Cold Coffee Drinks Cacao'}"
DKK,7.5,5712580116402,2022-12-09T22:59:59.000Z,2022-12-08T14:21:43.000Z,6.0,13.5,55.56,2022-12-07T19:02:03.000Z,1.0,each,SOLSIKKERUGBR. DET GODE,5701205001582,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/9858b501-789c-4f4e-9889-281daf32df73","{'da': 'Brød & kager>Rugbrød>Solsikkerugbrød', 'en': 'Bread And Cakes>Rye Breads>Sun Flower Seeded Rye Breads'}"
DKK,15.95,5712580117553,2022-12-09T22:59:59.000Z,2022-12-08T14:36:45.000Z,20.0,35.95,44.37,2022-12-08T11:13:14.000Z,2.0,each,STRYHNS SYLTE 400 G,5704000469076,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/ff545523-b0f5-42f1-b96a-2214a7e14c02","{'da': 'Mejeri & køl>Pålæg>Leverpostej & paté', 'en': 'Dairy And Cold Storage>Lunch Meats>Liver Paste Patee'}"
DKK,6.95,5712580117102,2022-12-08T22:59:59.000Z,2022-12-08T14:36:45.000Z,18.0,24.95,27.86,2022-12-08T10:29:00.000Z,10.0,each,BRIOCHE SANDWI. PRINCIP,5712874961206,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/8e92acc3-45cd-4e75-9cab-3b26e635f255","{'da': 'Brød & kager>Lyst & groft brød>Toastbrød', 'en': 'Bread And Cakes>Light Breads Dark Breads>Toast Breads'}"
DKK,5.95,5712580053905,2022-12-08T22:59:59.000Z,2022-12-08T15:06:34.000Z,9.0,14.95,39.8,2022-11-10T12:12:39.000Z,515.0,each,ISKFAFFE BOLD,5707527004713,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/9b0d1f3c-e1ae-49ad-a96e-6c1ab985a755","{'da': 'Mejeri & køl>Mejeri>Kolde kaffedrikke & kakao', 'en': 'Dairy And Cold Storage>Dairy>Cold Coffee Drinks Cacao'}"
DKK,10.95,5712580116211,2022-12-09T22:59:59.000Z,2022-12-08T15:21:39.000Z,11.0,21.95,49.89,2022-12-07T18:53:46.000Z,4.0,each,GYLDENMASK RUGB KOHBERG,5701246032910,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/74ab5ee0-c1fd-43e3-9f3e-5e172d376e68","{'da': 'Brød & kager>Rugbrød>Kernerugbrød', 'en': 'Bread And Cakes>Rye Breads>Seeded Rye Breads'}"
DKK,14.95,5712580116556,2022-12-15T22:59:59.000Z,2022-12-08T15:36:38.000Z,20.0,34.95,42.78,2022-12-07T19:40:18.000Z,3.0,each,BACON I SKIVER STEFF H,5707196244960,"https://digitalassets.sallinggroup.com/image/upload/e_trim/c_limit,e_sharpen:80,f_auto,q_auto,w_400,h_400/9dac77c2-1583-47e0-825b-3ded51192261","{'da': 'Mejeri & køl>Bacon, pølser & toppings>Bacon>Bacon i skiver', 'en': 'Dairy And Cold Storage>Bacon Sausages Toppings>Bacon>Sliced Bacon'}"
